Week,Diablo IV: (United States),The Legend of Zelda: (United States),Hogwarts Legacy: (United States),Stardew Valley: (United States),God of War Ragnarök: (United States)
1,2,4,1,12,1
2,0,4,1,15,1
3,0,4,1,15,1
4,0,4,1,15,2
5,0,4,1,15,2
6,0,4,1,15,1
7,0,4,1,15,1
8,0,4,1,12,1
9,0,4,1,12,1
10,0,4,1,11,1
11,0,4,2,10,1
12,0,3,2,9,1
13,0,4,2,9,1
14,0,6,1,8,2
15,0,4,1,8,1
16,0,4,1,8,1
17,0,4,1,7,1
18,0,5,1,7,1
19,0,4,1,7,2
20,0,3,1,7,3
21,0,4,1,7,9
22,0,3,2,7,23
23,0,4,2,8,20
24,0,4,2,8,16
25,0,4,1,7,11
26,2,4,1,7,9
27,2,4,3,8,7
28,1,4,3,10,6
29,1,6,3,13,8
30,1,5,3,12,6
31,1,4,4,12,4
32,1,5,5,13,4
33,1,5,9,12,3
34,1,4,15,13,3
35,1,8,100,12,3
36,1,6,83,12,2
37,1,6,51,13,2
38,2,5,33,12,2
39,3,4,22,11,2
40,15,5,16,12,2
41,23,5,12,11,2
42,12,8,10,11,1
43,2,6,9,11,2
44,2,8,7,11,2
45,2,8,5,10,1
46,1,8,5,10,1
47,2,11,8,9,1
48,8,26,11,10,1
49,7,37,8,9,1
50,5,29,7,9,1
51,35,24,6,10,1
